m=1000 n=1000 k=100
Testing file ran 10 times
Single Precision
QR AOCL: 1.5476942062377930e-02:2.3358826216634061e+01
QR Reference: 1.4968156814575195e-02:2.4152820182106051e+01
QR New: 1.4816999435424805e-02:2.4399218045163884e+01
QL AOCL: 1.5093088150024414e-02:2.3952897936226208e+01
QL Reference: 1.5053987503051758e-02:2.4015112270201612e+01
QL New: 1.5462875366210938e-02:2.3380075919773034e+01
RQ AOCL: 1.6264200210571289e-02:2.2228163409167802e+01
RQ Reference: 1.6052961349487305e-02:2.2520660962754153e+01
RQ New: 1.5999078750610352e-02:2.2596507313660680e+01
LQ AOCL: 1.5131950378417969e-02:2.3891388152820319e+01
LQ Reference: 1.3290166854858398e-02:2.7202314609604795e+01
LQ New: 9.6991062164306641e-03:3.7273877812325161e+01
Double Precision
QR AOCL: 2.8948068618774414e-02:1.2488681188406895e+01
QR Reference: 2.8292894363403320e-02:1.2777879680900657e+01
QR New: 2.8107881546020508e-02:1.2861986749449077e+01
QL AOCL: 2.4905204772949219e-02:1.4515969786069309e+01
QL Reference: 2.4831056594848633e-02:1.4559316016983360e+01
QL New: 2.4837017059326172e-02:1.4555822027116172e+01
RQ AOCL: 2.6175975799560547e-02:1.3811263532955643e+01
RQ Reference: 2.6259899139404297e-02:1.3767124469168891e+01
RQ New: 2.6056051254272461e-02:1.3874830705236670e+01
LQ AOCL: 2.7842998504638672e-02:1.2984352239927386e+01
LQ Reference: 1.5480995178222656e-02:2.3352717046805889e+01
LQ New: 1.4609098434448242e-02:2.4746448360394940e+01
Single Complex Precision
QR AOCL: 3.5280942916870117e-02:1.0246982368125208e+01
QR Reference: 3.4543037414550781e-02:1.0465877556202203e+01
QR New: 3.4526109695434570e-02:1.0471008844874424e+01
QL AOCL: 2.7941942214965820e-02:1.2938370468977874e+01
QL Reference: 2.7767181396484375e-02:1.3019801860255530e+01
QL New: 2.7676105499267578e-02:1.3062647127485743e+01
RQ AOCL: 3.0760049819946289e-02:1.1753014124365006e+01
