m=1000 n=1000 k=1000
Testing file ran 10 times
Single Precision
QR AOCL: 2.2853136062622070e-02
QR Reference: 2.2711038589477539e-02
QR New: 3.1358003616333008e-02
QL AOCL: 2.1502017974853516e-02
QL Reference: 2.2691011428833008e-02
QL New: 3.1118154525756836e-02
RQ AOCL: 2.6582956314086914e-02
RQ Reference: 2.7738094329833984e-02
RQ New: 3.2738924026489258e-02
LQ AOCL: 2.6813983917236328e-02
LQ Reference: 3.1371116638183594e-02
LQ New: 3.2396793365478516e-02
Double Precision
QR AOCL: 3.9127111434936523e-02
QR Reference: 3.9687871932983398e-02
QR New: 4.6637058258056641e-02
QL AOCL: 4.0019035339355469e-02
QL Reference: 4.1043043136596680e-02
QL New: 4.6534776687622070e-02
RQ AOCL: 4.6095848083496094e-02
RQ Reference: 4.6746015548706055e-02
RQ New: 5.0388097763061523e-02
LQ AOCL: 4.6915054321289062e-02
LQ Reference: 5.0840854644775391e-02
LQ New: 5.1468133926391602e-02
Single Complex Precision
QR AOCL: 8.2035064697265625e-02
QR Reference: 8.3227157592773438e-02
QR New: 8.7152004241943359e-02
QL AOCL: 8.3553791046142578e-02
QL Reference: 8.4297895431518555e-02
QL New: 8.7188005447387695e-02
RQ AOCL: 8.0588102340698242e-02
RQ Reference: 8.1980943679809570e-02
RQ New: 8.9161872863769531e-02
LQ AOCL: 8.0741882324218750e-02
LQ Reference: 8.1660032272338867e-02
LQ New: 8.8867187500000000e-02
Double Complex Precision
QR AOCL: 1.6679382324218750e-01
QR Reference: 1.6727018356323242e-01
QR New: 1.4479303359985352e-01
QL AOCL: 1.6807079315185547e-01
QL Reference: 1.6918301582336426e-01
QL New: 1.4537692070007324e-01
RQ AOCL: 1.6900086402893066e-01
RQ Reference: 1.7039704322814941e-01
RQ New: 1.6322493553161621e-01
LQ AOCL: 1.6774988174438477e-01
LQ Reference: 1.6957092285156250e-01
LQ New: 1.6674590110778809e-01
Single Precision
QR AOCL: 2.2244930267333984e-02
QR Reference: 2.2198915481567383e-02
